date	precio
20220831	21.1117
20220830	20.1623
20220829	19.8095
20220826	19.5335
20220825	19.2837
20220824	19.6985
20220823	19.776
20220822	19.3973
20220819	19.1585
20220818	19.0878
20220817	19.1197
20220816	18.9138
20220815	18.7992
20220812	18.591
20220811	18.5952
20220810	18.5715
20220809	18.5712
20220808	18.6458
20220805	18.6308
20220804	18.674
20220803	18.7653
20220802	18.7763
20220801	18.6645
20220729	18.6245
20220728	18.6797
20220727	18.9082
20220726	18.7853
20220725	18.7067
20220722	18.8022
20220721	18.9407
20220720	18.8313
20220719	18.8018
20220718	18.6883
20220715	18.7007
20220714	18.6725
20220713	18.7388
20220712	18.793
20220711	18.8077
20220708	18.812
20220707	18.8215
20220706	18.7732
20220705	18.8453
20220704	18.798
20220701	18.8852
20220630	18.827
20220629	18.8673
20220628	18.8817
20220627	18.8642
20220624	18.8727
20220623	18.8452
20220622	18.9445
20220621	18.9643
20220620	18.9385
20220617	18.9133
20220616	18.964
20220615	18.9542
20220614	18.9165
20220613	18.9702
20220610	19.0455
20220609	19.1785
20220608	19.2362
20220607	19.2302
20220606	19.3247
20220603	19.3688
20220602	19.4707
20220601	19.5678
20220531	19.5717
20220530	19.5352
20220527	19.6113
20220526	19.5607
20220525	19.5185
20220524	19.4468
20220523	19.3987
20220520	19.4138
20220519	19.48
20220518	19.3687
20220517	19.2063
20220516	19.4228
20220513	19.4543
20220512	19.2178
20220511	19.109
20220510	19.1068
20220509	19.1327
20220506	19.1953
20220505	19.2125
20220504	19.1525
20220503	19.1058
20220502	19.1948
20220429	19.1643
20220428	19.1167
20220427	19.0543
20220426	19.082
20220425	19.0878
20220422	19.1258
20220421	19.105
20220420	19.1422
20220419	19.1492
20220418	19.1602
20220413	19.2135
20220412	19.252
20220411	19.2652
20220408	19.3217
20220407	19.4764
20220406	19.5689
20220405	19.584
20220404	19.5522
20220401	19.5255
20220331	19.7368
20220330	19.7985
20220329	19.7792
20220328	19.7345
20220325	19.6808
20220324	19.6363
20220323	19.5775
20220322	19.4587
20220318	19.4459
20220317	19.4478
20220316	19.3981
20220315	19.3528
20220314	19.4262
20220311	19.3665
20220310	19.4265
20220309	19.5478
20220308	19.5354
20220307	19.5398
20220304	19.5623
20220303	19.6834
20220302	19.7806
20220301	20.0039
20220228	20.1253
20220225	20.0696
20220224	20.0988
20220223	20.0314
20220222	19.9934
20220221	19.9086
20220218	19.8402
20220217	19.7467
20220216	19.6798
20220215	19.7522
20220214	19.8153
20220211	19.5669
20220210	19.6365
20220209	19.5763
20220208	19.463
20220204	19.5803
20220203	19.4283
20220202	19.5118
20220201	19.6953
20220131	19.6291
20220128	19.5731
20220127	19.3116
20220126	19.1627
20220125	18.9929
20220124	19.0747
20220121	19.09
20220120	19.0699
20220119	19.0623
20220118	19.0894
20220117	19.1315
20220114	19.0659
20220113	19.0123
20220112	19.0108
20220111	19.0233
20220110	19.0781
20220107	18.9803
20220106	19.0307
20220105	19.1227
20220104	19.2425
20220103	19.0043
20211231	18.9116
20211230	19.0446
20211229	18.9947
20211228	19.0502
20211227	19.0694
20211224	19.076
20211223	19.2087
20211222	19.1685
20211221	19.1442
20211220	19.2271
20211217	19.1833
20211216	19.0661
20211215	18.9804
20211214	19.1753
20211213	19.1011
20211210	19.1924
20211209	19.1487
20211208	19.1645
20211207	19.1383
20211206	19.1222
20211203	19.204
20211202	19.6528
20211201	19.7084
20211130	19.5418
20211129	19.6007
20211126	19.7609
20211125	19.6426
20211124	19.0683
20211123	19.2395
20211122	19.1652
20211119	19.0521
20211118	19.0658
20211117	19.0122
20211116	18.9755
20211112	19.0309
20211111	19.0908
20211110	19.1454
20211109	19.071
20211108	19.1236
20211105	19.1427
20211104	19.1928
20211103	19.1374
20211101	19.2623
20211029	19.0837
20211028	19.0499
20211027	18.9781
20211026	19.0012
20211025	19.1014
20211022	19.0099
20211021	19.012
20211020	18.9414
20211019	19.0942
20211018	19.0046
20211015	18.9578
20211014	18.8359
20211013	18.848
20211012	18.9516
20211011	18.8489
20211008	18.7719
20211007	18.8432
20211006	18.836
20211005	18.9229
20211004	18.9701
20211001	19.0805
20210930	19.1728
20210929	19.1805
20210928	19.2279
20210927	19.2169
20210924	19.3779
20210923	19.3793
20210922	19.3201
20210921	19.0989
20210920	19.0151
20210917	19.1369
20210915	18.8694
20210914	18.9098
20210913	19.0004
20210910	19.2176
20210909	19.3233
20210908	19.332
20210907	19.3049
20210906	19.4243
20210903	19.4902
20210902	19.5225
20210901	19.3708
20210831	19.2597
20210830	19.3039
20210827	19.2978
20210826	19.2607
20210825	19.2201
20210824	19.163
20210823	19.1185
20210820	19.1394
20210819	19.2652
20210818	19.1835
20210817	19.1778
20210816	19.2578
20210813	19.3625
20210812	19.3569
20210811	19.4084
20210810	19.2592
20210809	19.2524
20210806	19.0893
20210805	19.08
20210804	19.1058
20210803	19.0824
20210802	19.1098
20210730	19.0388
20210729	19.1623
20210728	18.9972
20210727	19.0381
20210726	18.928
20210723	18.9859
20210722	19.0771
20210721	19.1297
20210720	19.1902
20210719	19.0844
20210716	19.063
20210715	18.9908
20210714	19.0457
20210713	19.0064
20210712	19.1236
20210709	19.1714
20210708	19.2456
20210707	19.3479
20210706	19.3208
20210705	19.4902
20210702	19.6073
20210701	19.5878
20210630	19.6512
20210629	19.6566
20210628	19.6829
20210625	19.8823
20210624	19.8473
20210623	19.9275
20210622	19.9082
20210621	20.0293
20210618	20.1277
20210617	20.1126
20210616	20.3337
20210615	20.2566
20210614	20.2889
20210611	20.3621
20210610	20.2609
20210609	20.4705
20210608	20.5672
20210607	20.5123
20210604	20.2346
20210603	20.3455
20210602	20.2217
20210601	20.4108
20210531	20.4977
20210528	20.5304
20210527	20.3935
20210526	20.2984
20210525	20.2023
20210524	20.4123
20210521	20.155
20210520	20.3371
20210519	20.3979
